"","species_full","species_strain","block","cohort","sex","specimen","leg_tibL","leg_tibW","leg_tar1L","leg_log_tibL","leg_log_tibW","leg_log_tar1L","cohort_num","thorax_length_mm","thorax_log_length_mm","wing_area_mm_sq","wing_log_area_mm_sq","condition","wing_sqroot_area_mm_sq","wing_log_sqroot_area_mm_sq"
"1777","D_pseudotakahashii","PstHof1.2","B3","3","M","16",0.37212415,0.05903685,0.1507456375,8.53964021086098,5.88354384117362,7.23597244166337,3,0.59006444595,9.20472872183385,0.0574380393156,5.8439345975661,"LC",0.239662344383927,7.90485944111409
"1778","D_pseudotakahashii","PstHof1.2","B3","3","M","17",0.4152338,0.0568024625,0.15575245,8.6977800735179,5.82788156967947,7.28311104692481,3,0.6226868256,9.28236294571609,0.0686328695343,6.10082776978392,"LC",0.261978757792116,8.033306027223
"1779","D_pseudotakahashii","PstHof1.2","B3","3","M","18",0.3749949375,0.0542633125,0.1385540625,8.55072730886872,5.76190521441012,7.11430520202083,3,0.560876001,9.13153804346832,0.0574822419795,5.84504442720502,"LC",0.239754545273911,7.90541435593356
"1780","D_pseudotakahashii","PstHof1.2","B3","3","M","19",0.4494322375,0.0760137875,0.173338375,8.81195980163859,6.24818921546757,7.43744727470183,3,0.68392532775,9.41769500733386,0.0734772503727,6.19922573456618,"LC",0.271066874355204,8.08250500961413
"1781","D_pseudotakahashii","PstHof2.4","B3","1","F","1",0.492082325,0.079811225,0.1865549625,8.94275588731817,6.31851976255009,7.54345692719512,1,0.881376573,9.78361474004801,0.1202662034703,6.91008747122457,"HC",0.346794180271671,8.43793587794333
"1782","D_pseudotakahashii","PstHof2.4","B3","1","F","1",0.492082325,0.079811225,0.1865549625,8.94275588731817,6.31851976255009,7.54345692719512,1,0.8779426383,9.77798287196868,0.1202662034703,6.91008747122457,"HC",0.346794180271671,8.43793587794333
"1783","D_pseudotakahashii","PstHof2.4","B3","1","F","2",0.5009451625,0.084700325,0.2068025875,8.96850887279728,6.40429560015899,7.69211042644336,1,0.8710747689,9.76665274796929,0.1256103922077,6.97281201838557,"HC",0.354415564285346,8.46929815152383
"1784","D_pseudotakahashii","PstHof2.4","B3","1","F","2",0.5009451625,0.084700325,0.2068025875,8.96850887279728,6.40429560015899,7.69211042644336,1,0.8424586464,9.71846206052276,0.1256103922077,6.97281201838557,"HC",0.354415564285346,8.46929815152383
"1785","D_pseudotakahashii","PstHof2.4","B3","1","F","3",0.49258005,0.0839601875,0.18705,8.94421438815788,6.39163348334947,7.54728015566346,1,0.85905599745,9.74660836608643,0.1145799496737,6.84021079899087,"HC",0.338496602159756,8.40299754182648
"1786","D_pseudotakahashii","PstHof2.4","B3","1","F","3",0.49258005,0.0839601875,0.18705,8.94421438815788,6.39163348334947,7.54728015566346,1,0.83501845455,9.70566427238364,0.1145799496737,6.84021079899087,"HC",0.338496602159756,8.40299754182648
"1787","D_pseudotakahashii","PstHof2.4","B3","1","F","4",0.48375,0.0815865875,0.1927340625,8.91811785103177,6.35026009343596,7.59046775599622,1,0.87737031585,9.77704208612452,0.1285505916228,7.00619243961425,"HC",0.358539525886338,8.48598836213817
"1788","D_pseudotakahashii","PstHof2.4","B3","1","F","4",0.48375,0.0815865875,0.1927340625,8.91811785103177,6.35026009343596,7.59046775599622,1,0.8676408342,9.76095414263684,0.1285505916228,7.00619243961425,"HC",0.358539525886338,8.48598836213817
"1789","D_pseudotakahashii","PstHof2.4","B3","1","F","5",0.503761125,0.086,0.2026595375,8.97659598407063,6.4262647547021,7.66291426242161,1,0.87851496075,9.77892304472329,0.1250868939921,6.96678682849419,"HC",0.353676255906585,8.46628555657814
"1790","D_pseudotakahashii","PstHof2.4","B3","1","F","5",0.503761125,0.086,0.2026595375,8.97659598407063,6.4262647547021,7.66291426242161,1,0.8859551526,9.79108986061016,0.1250868939921,6.96678682849419,"HC",0.353676255906585,8.46628555657814
"1791","D_pseudotakahashii","PstHof2.4","B3","1","F","6",0.4933674875,0.0757396625,0.1971679,8.94651883616265,6.24297708739751,7.62328088205643,1,0.8504711607,9.73211850500434,0.1183172415705,6.88651651295188,"HC",0.34397273376025,8.42615039880699
"1792","D_pseudotakahashii","PstHof2.4","B3","1","F","6",0.4933674875,0.0757396625,0.1971679,8.94651883616265,6.24297708739751,7.62328088205643,1,0.8081192994,9.65842447773693,0.1183172415705,6.88651651295188,"HC",0.34397273376025,8.42615039880699
"1793","D_pseudotakahashii","PstHof2.4","B3","1","F","7",0.5045539375,0.0862413375,0.1958504875,8.97886469340633,6.4303076476259,7.61360890914307,1,0.87737031585,9.77704208612452,0.1238041500201,6.9519158654987,"HC",0.351858139056211,8.45885007508039
"1794","D_pseudotakahashii","PstHof2.4","B3","1","F","7",0.5045539375,0.0862413375,0.1958504875,8.97886469340633,6.4303076476259,7.61360890914307,1,0.89110605465,9.79945333354478,0.1238041500201,6.9519158654987,"HC",0.351858139056211,8.45885007508039
"1795","D_pseudotakahashii","PstHof2.4","B3","1","F","8",0.4912411375,0.0802729375,0.2038420375,8.94028756966478,6.32684178729873,7.67130779299009,1,0.8653515444,9.75714252868682,0.1262719876347,6.98039081478425,"HC",0.355347699633331,8.47308754972317
"1796","D_pseudotakahashii","PstHof2.4","B3","1","F","8",0.4912411375,0.0802729375,0.2038420375,8.94028756966478,6.32684178729873,7.67130779299009,1,0.8619176097,9.75140615913767,0.1262719876347,6.98039081478425,"HC",0.355347699633331,8.47308754972317
"1797","D_pseudotakahashii","PstHof2.4","B3","1","F","9",0.5058536125,0.0788786625,0.204532725,8.98257613778612,6.30156318386261,7.67618788095184,1,0.8561943852,9.74179456435338,0.121043072511,6.91937670372525,"HC",0.347912449491248,8.44258049419367
"1798","D_pseudotakahashii","PstHof2.4","B3","1","F","9",0.5058536125,0.0788786625,0.204532725,8.98257613778612,6.30156318386261,7.67618788095184,1,0.85562206275,9.74082987355121,0.121043072511,6.91937670372525,"HC",0.347912449491248,8.44258049419367
"1799","D_pseudotakahashii","PstHof2.4","B3","1","F","10",0.4623752375,0.0731317125,0.2015501375,8.85292032616749,6.19242524039917,7.65499495718848,1,0.85333277295,9.73696464674919,0.1220317098696,6.93111226975429,"HC",0.349330373528555,8.44844827720819
"1800","D_pseudotakahashii","PstHof2.4","B3","1","F","10",0.4623752375,0.0731317125,0.2015501375,8.85292032616749,6.19242524039917,7.65499495718848,1,0.8390247117,9.71256949259956,0.1220317098696,6.93111226975429,"HC",0.349330373528555,8.44844827720819
"1801","D_pseudotakahashii","PstHof2.4","B3","1","F","11",0.510927075,0.0809609375,0.1942627125,8.99697357869937,6.33915409093206,7.60186520107491,1,0.8916783771,9.80037962252742,0.1256176148652,6.97289497165405,"HC",0.35442575367092,8.46933962815807
"1802","D_pseudotakahashii","PstHof2.4","B3","1","F","11",0.510927075,0.0809609375,0.1942627125,8.99697357869937,6.33915409093206,7.60186520107491,1,0.9008355363,9.81511992997323,0.1256176148652,6.97289497165405,"HC",0.35442575367092,8.46933962815807
"1803","D_pseudotakahashii","PstHof2.4","B3","1","F","12",0.5013929,0.073036575,0.1977650625,8.96979775673374,6.1905472076031,7.62764376951194,1,0.8653515444,9.75714252868682,0.1234447505829,6.94772167778202,"HC",0.351347051478876,8.45675298122205
"1804","D_pseudotakahashii","PstHof2.4","B3","1","F","12",0.5013929,0.073036575,0.1977650625,8.96979775673374,6.1905472076031,7.62764376951194,1,0.87393638115,9.7713844512626,0.1234447505829,6.94772167778202,"HC",0.351347051478876,8.45675298122205
"1805","D_pseudotakahashii","PstHof2.4","B3","1","F","13",0.5335638875,0.0853523125,0.21833895,9.05951721557813,6.41535833644836,7.77042570883154,1,0.90140785875,9.81603621774039,0.1271866649805,6.99080360744887,"HC",0.356632394743523,8.47829394605548
"1806","D_pseudotakahashii","PstHof2.4","B3","1","F","13",0.5335638875,0.0853523125,0.21833895,9.05951721557813,6.41535833644836,7.77042570883154,1,0.8893890873,9.79667089287346,0.1271866649805,6.99080360744887,"HC",0.356632394743523,8.47829394605548
"1807","D_pseudotakahashii","PstHof2.4","B3","1","F","14",0.5324061125,0.0911153875,0.223858,9.05638332455348,6.50962281077332,7.80644006644412,1,0.881376573,9.78361474004801,0.1267463717793,6.98580063924452,"HC",0.356014566807736,8.4757924619533
"1808","D_pseudotakahashii","PstHof2.4","B3","1","F","14",0.5324061125,0.0911153875,0.223858,9.05638332455348,6.50962281077332,7.80644006644412,1,0.89339534445,9.80315492644366,0.1267463717793,6.98580063924452,"HC",0.356014566807736,8.4757924619533
"1809","D_pseudotakahashii","PstHof2.4","B3","1","F","15",0.52347985,0.093345475,0.219857925,9.03199019519335,6.54450818318472,7.78042772665612,1,0.88996140975,9.79759896948371,0.1258299609957,6.97533166869678,"HC",0.354725190810718,8.47055797667943
"1810","D_pseudotakahashii","PstHof2.4","B3","1","F","15",0.52347985,0.093345475,0.219857925,9.03199019519335,6.54450818318472,7.78042772665612,1,0.90140785875,9.81603621774039,0.1258299609957,6.97533166869678,"HC",0.354725190810718,8.47055797667943
"1811","D_pseudotakahashii","PstHof2.4","B3","1","F","16",0.4991800125,0.0752193625,0.2160723125,8.96341635866153,6.23303217417191,7.7553704069139,1,0.927162369,9.85667820223773,0.1346364028323,7.07292472665528,"HC",0.366928334736226,8.51935450565868
"1812","D_pseudotakahashii","PstHof2.4","B3","1","F","16",0.4991800125,0.0752193625,0.2160723125,8.96341635866153,6.23303217417191,7.7553704069139,1,0.9237284343,9.85132496774353,0.1346364028323,7.07292472665528,"HC",0.366928334736226,8.51935450565868
"1813","D_pseudotakahashii","PstHof2.4","B3","1","F","17",0.4942801625,0.0760137875,0.1917843,8.94918519611651,6.24818921546757,7.58334081190749,1,0.8939676669,9.80407884260773,0.126428285943,6.98217546519119,"HC",0.355567554682651,8.47397987492664
"1814","D_pseudotakahashii","PstHof2.4","B3","1","F","17",0.4942801625,0.0760137875,0.1917843,8.94918519611651,6.24818921546757,7.58334081190749,1,0.8962569567,9.80776860175679,0.126428285943,6.98217546519119,"HC",0.355567554682651,8.47397987492664
"1815","D_pseudotakahashii","PstHof2.4","B3","1","F","18",0.4908455375,0.0731317125,0.1900777375,8.93912528897495,6.19242524039917,7.57044575869357,1,0.88652747505,9.79202153325532,0.1374344603478,7.10259998097211,"HC",0.370721540172405,8.5341921328171
"1816","D_pseudotakahashii","PstHof2.4","B3","1","F","18",0.4908455375,0.0731317125,0.1900777375,8.93912528897495,6.19242524039917,7.57044575869357,1,0.8607729648,9.74948895614338,0.1374344603478,7.10259998097211,"HC",0.370721540172405,8.5341921328171
"1817","D_pseudotakahashii","PstHof2.4","B3","1","F","19",0.47515,0.0762567375,0.1835578625,8.89223921920617,6.25279290429843,7.52009110179769,1,0.8172764586,9.67468036849485,0.1102740901785,6.78495004723155,"HC",0.332075428447363,8.37536716594682
"1818","D_pseudotakahashii","PstHof2.4","B3","1","F","19",0.47515,0.0762567375,0.1835578625,8.89223921920617,6.25279290429843,7.52009110179769,1,0.812697879,9.66657531885779,0.1102740901785,6.78495004723155,"HC",0.332075428447363,8.37536716594682
"1819","D_pseudotakahashii","PstHof2.4","B3","1","F","20",0.49522885,0.0771909125,0.2102716125,8.95195155226622,6.27035910736923,7.71611028344946,1,0.87622567095,9.77515867196554,0.1155495192165,6.85236744676405,"HC",0.339925755447421,8.40907586571307
"1820","D_pseudotakahashii","PstHof2.4","B3","1","F","20",0.49522885,0.0771909125,0.2102716125,8.95195155226622,6.27035910736923,7.71611028344946,1,0.86477922195,9.75618804963058,0.1155495192165,6.85236744676405,"HC",0.339925755447421,8.40907586571307
"1821","D_pseudotakahashii","PstHof2.4","B3","1","F","21",0.4902424625,0.0819542375,0.2019167125,8.93735163886126,6.35674664167621,7.65761651620942,1,0.85562206275,9.74082987355121,0.1163792581101,6.86269014417052,"HC",0.341144043052345,8.41423721441631
"1822","D_pseudotakahashii","PstHof2.4","B3","1","F","21",0.4902424625,0.0819542375,0.2019167125,8.93735163886126,6.35674664167621,7.65761651620942,1,0.8172764586,9.67468036849485,0.1163792581101,6.86269014417052,"HC",0.341144043052345,8.41423721441631
"1823","D_pseudotakahashii","PstHof2.4","B3","1","F","22",0.49906875,0.0788786625,0.204803625,8.96309475975016,6.30156318386261,7.67809744087064,1,0.90713108325,9.82516722949252,0.1284540969186,7.00510909410368,"HC",0.358404934283277,8.48544668938288
"1824","D_pseudotakahashii","PstHof2.4","B3","1","F","22",0.49906875,0.0788786625,0.204803625,8.96309475975016,6.30156318386261,7.67809744087064,1,0.9077034057,9.82607716016972,0.1284540969186,7.00510909410368,"HC",0.358404934283277,8.48544668938288
"1825","D_pseudotakahashii","PstHof2.4","B3","1","F","23",0.4824153875,0.07955,0.208594075,8.91413211508049,6.31379002544369,7.70455436925505,1,0.8767979934,9.7761006863907,0.1207047632337,6.91533879841154,"HC",0.347425910423647,8.44056154153682
"1826","D_pseudotakahashii","PstHof2.4","B3","1","F","23",0.4824153875,0.07955,0.208594075,8.91413211508049,6.31379002544369,7.70455436925505,1,0.87965960565,9.78080155415652,0.1207047632337,6.91533879841154,"HC",0.347425910423647,8.44056154153682
"1827","D_pseudotakahashii","PstHof2.4","B3","1","F","24",0.4838311625,0.0731317125,0.2055469875,8.91835988289653,6.19242524039917,7.68332441766948,1,0.8619176097,9.75140615913767,0.1138267709496,6.83069609517032,"HC",0.337382232711801,8.3982401899162
"1828","D_pseudotakahashii","PstHof2.4","B3","1","F","24",0.4838311625,0.0731317125,0.2055469875,8.91835988289653,6.19242524039917,7.68332441766948,1,0.85104348315,9.73308903651817,0.1138267709496,6.83069609517032,"HC",0.337382232711801,8.3982401899162
"1829","D_pseudotakahashii","PstHof2.4","B3","1","F","25",0.5041282375,0.0873072,0.2041140125,8.97764695539015,6.44802872899375,7.67323141707595,1,0.8996908914,9.81328560672435,0.1313607832029,7.03739082370505,"HC",0.362437281750788,8.50158755418357
"1830","D_pseudotakahashii","PstHof2.4","B3","1","F","25",0.5041282375,0.0873072,0.2041140125,8.97764695539015,6.44802872899375,7.67323141707595,1,0.89911856895,9.81236756975994,0.1313607832029,7.03739082370505,"HC",0.362437281750788,8.50158755418357
"1831","D_pseudotakahashii","PstHof2.4","B3","1","F","26",0.507919225,0.0812743,0.1968276625,8.98845527150114,6.34472732020007,7.6207891835567,1,0.89568463425,9.80684704628573,0.1217835393579,6.92817533704556,"HC",0.348974983856866,8.44697981085383
"1832","D_pseudotakahashii","PstHof2.4","B3","1","F","26",0.507919225,0.0812743,0.1968276625,8.98845527150114,6.34472732020007,7.6207891835567,1,0.8996908914,9.81328560672435,0.1217835393579,6.92817533704556,"HC",0.348974983856866,8.44697981085383
"1833","D_pseudotakahashii","PstHof2.4","B3","1","F","27",0.5018900875,0.0817284875,0.2026251375,8.97122764243558,6.35276713055814,7.66266935452063,1,0.9088480506,9.8278953016087,0.1310513645556,7.03398856539716,"HC",0.362010171895211,8.49988642502963
"1834","D_pseudotakahashii","PstHof2.4","B3","1","F","27",0.5018900875,0.0817284875,0.2026251375,8.97122764243558,6.35276713055814,7.66266935452063,1,0.91628824245,9.839657696982,0.1310513645556,7.03398856539716,"HC",0.362010171895211,8.49988642502963
"1835","D_pseudotakahashii","PstHof2.4","B3","1","F","28",0.45598275,0.0788786625,0.2069477125,8.83283543749768,6.30156318386261,7.69312249157731,1,0.86935780155,9.76380625896783,0.1139313550302,6.83202103534001,"HC",0.337537190588237,8.39890266000105
"1836","D_pseudotakahashii","PstHof2.4","B3","1","F","28",0.45598275,0.0788786625,0.2069477125,8.83283543749768,6.30156318386261,7.69312249157731,1,0.8745087036,9.77232893250149,0.1139313550302,6.83202103534001,"HC",0.337537190588237,8.39890266000105
"1837","D_pseudotakahashii","PstHof2.4","B3","1","F","29",0.4915797625,0.0788496375,0.213457375,8.94128171341478,6.30103221733302,7.73780419865739,1,0.85447741785,9.73889855460029,0.1165185109467,6.86441535950038,"HC",0.341348078867745,8.41509982208123
"1838","D_pseudotakahashii","PstHof2.4","B3","1","F","29",0.4915797625,0.0788496375,0.213457375,8.94128171341478,6.30103221733302,7.73780419865739,1,0.87050244645,9.76570454219024,0.1165185109467,6.86441535950038,"HC",0.341348078867745,8.41509982208123
"1839","D_pseudotakahashii","PstHof2.4","B3","1","M","1",0.4803793375,0.0768307875,0.172241875,8.90803028768052,6.26361263595145,7.42829211944638,1,0.74573615235,9.54252147303388,0.0875334085866,6.45176184558294,"HC",0.295860454583914,8.20877306512251
"1840","D_pseudotakahashii","PstHof2.4","B3","1","M","1",0.4803793375,0.0768307875,0.172241875,8.90803028768052,6.26361263595145,7.42829211944638,1,0.75031473195,9.5513520746875,0.0875334085866,6.45176184558294,"HC",0.295860454583914,8.20877306512251
"1841","D_pseudotakahashii","PstHof2.4","B3","1","M","2",0.5190234375,0.08349095,0.20982065,9.01965587749383,6.38354792004629,7.71301286095272,1,0.8115532341,9.66454192170526,0.0965932212483,6.59385004156111,"HC",0.310794500029038,8.2798171631116
"1842","D_pseudotakahashii","PstHof2.4","B3","1","M","2",0.5190234375,0.08349095,0.20982065,9.01965587749383,6.38354792004629,7.71301286095272,1,0.83730774435,9.70961415860423,0.0965932212483,6.59385004156111,"HC",0.310794500029038,8.2798171631116
"1843","D_pseudotakahashii","PstHof2.4","B3","1","M","3",0.5135979125,0.0771909125,0.18306605,9.00449552846544,6.27035910736923,7.51622045476014,1,0.77320762995,9.59471206379143,0.0958192412706,6.582243484652,"HC",0.309546832112041,8.27401388465704
"1844","D_pseudotakahashii","PstHof2.4","B3","1","M","3",0.5135979125,0.0771909125,0.18306605,9.00449552846544,6.27035910736923,7.51622045476014,1,0.7840817565,9.61486028231364,0.0958192412706,6.582243484652,"HC",0.309546832112041,8.27401388465704
"1845","D_pseudotakahashii","PstHof2.4","B3","1","M","4",0.4920119125,0.0802729375,0.175630275,8.94254943602343,6.32684178729873,7.45639774665023,1,0.7703460177,9.58936279907606,0.092195778456,6.5266287876241,"HC",0.303637577476833,8.2462065361431
"1846","D_pseudotakahashii","PstHof2.4","B3","1","M","4",0.4920119125,0.0802729375,0.175630275,8.94254943602343,6.32684178729873,7.45639774665023,1,0.7920942708,9.62952833210247,0.092195778456,6.5266287876241,"HC",0.303637577476833,8.2462065361431
"1847","D_pseudotakahashii","PstHof2.4","B3","1","M","5",0.5073725875,0.0821515,0.19125325,8.98690176486017,6.36021501239752,7.57934045375802,1,0.7737799524,9.59577954074793,0.0967948778457,6.59685880042311,"HC",0.311118751999458,8.2813215425426
"1848","D_pseudotakahashii","PstHof2.4","B3","1","M","5",0.5073725875,0.0821515,0.19125325,8.98690176486017,6.36021501239752,7.57934045375802,1,0.79152194835,9.62848554561624,0.0967948778457,6.59685880042311,"HC",0.311118751999458,8.2813215425426
"1849","D_pseudotakahashii","PstHof2.4","B3","1","M","6",0.503118275,0.0811324,0.17285785,8.97475378403544,6.34220626068225,7.43344231202654,1,0.76633976055,9.58184034979006,0.0914024417562,6.51416080133599,"HC",0.302328367435476,8.23997254299904
"1850","D_pseudotakahashii","PstHof2.4","B3","1","M","6",0.503118275,0.0811324,0.17285785,8.97475378403544,6.34220626068225,7.43344231202654,1,0.7714906626,9.59150488564761,0.0914024417562,6.51416080133599,"HC",0.302328367435476,8.23997254299904
"1851","D_pseudotakahashii","PstHof2.4","B3","1","M","7",0.5038250875,0.0767404875,0.190817875,8.97677915128854,6.26191602469122,7.57605251293133,1,0.7829371116,9.61275261935164,0.1000488295026,6.64456047865084,"HC",0.316304962816899,8.30517238165646
"1852","D_pseudotakahashii","PstHof2.4","B3","1","M","7",0.5038250875,0.0767404875,0.190817875,8.97677915128854,6.26191602469122,7.57605251293133,1,0.81555949125,9.67164630840521,0.1000488295026,6.64456047865084,"HC",0.316304962816899,8.30517238165646
"1853","D_pseudotakahashii","PstHof2.4","B3","1","M","8",0.485090525,0.0781723875,0.1872478,8.92211019023302,6.28858719536612,7.54880495813707,1,0.7772138871,9.60216786871048,0.0917341061886,6.5193863137785,"HC",0.302876387637927,8.24258529922029
"1854","D_pseudotakahashii","PstHof2.4","B3","1","M","8",0.485090525,0.0781723875,0.1872478,8.92211019023302,6.28858719536612,7.54880495813707,1,0.7714906626,9.59150488564761,0.0917341061886,6.5193863137785,"HC",0.302876387637927,8.24258529922029
"1855","D_pseudotakahashii","PstHof2.4","B3","1","M","9",0.48641815,0.074509325,0.1893585625,8.92605325166983,6.21934908810481,7.56497684890036,1,0.73772363805,9.5269366528274,0.0871003380429,6.44460641292929,"HC",0.295127663974254,8.20519534879569
"1856","D_pseudotakahashii","PstHof2.4","B3","1","M","9",0.48641815,0.074509325,0.1893585625,8.92605325166983,6.21934908810481,7.56497684890036,1,0.73657899315,9.52469644268645,0.0871003380429,6.44460641292929,"HC",0.295127663974254,8.20519534879569
"1857","D_pseudotakahashii","PstHof2.4","B3","1","M","10",0.5052548375,0.086428925,0.2048374875,8.98086741935123,6.43344231202654,7.67833595824326,1,0.7451638299,9.54141383763138,0.0908078725908,6.50474547230842,"HC",0.301343446238341,8.23526487848525
"1858","D_pseudotakahashii","PstHof2.4","B3","1","M","10",0.5052548375,0.086428925,0.2048374875,8.98086741935123,6.43344231202654,7.67833595824326,1,0.7657674381,9.58076250510721,0.0908078725908,6.50474547230842,"HC",0.301343446238341,8.23526487848525
"1859","D_pseudotakahashii","PstHof2.4","B3","1","M","11",0.468098,0.075096275,0.1584157625,8.8706667907651,6.23066944240974,7.3075720816897,1,0.721126287,9.49410812285303,0.084398197419,6.39914028099469,"HC",0.290513678540271,8.18246228282839
"1860","D_pseudotakahashii","PstHof2.4","B3","1","M","11",0.468098,0.075096275,0.1584157625,8.8706667907651,6.23066944240974,7.3075720816897,1,0.7337173809,9.51908065108449,0.084398197419,6.39914028099469,"HC",0.290513678540271,8.18246228282839
"1861","D_pseudotakahashii","PstHof2.4","B3","1","M","12",0.5096225625,0.0787324625,0.1905872875,8.99328534116464,6.29888669671142,7.57430808199028,1,0.8149871688,9.67063353543214,0.096968510532,6.59944441873429,"HC",0.311397672650262,8.28261435169819
"1862","D_pseudotakahashii","PstHof2.4","B3","1","M","12",0.5096225625,0.0787324625,0.1905872875,8.99328534116464,6.29888669671142,7.57430808199028,1,0.82128271575,9.6817351260288,0.096968510532,6.59944441873429,"HC",0.311397672650262,8.28261435169819
"1863","D_pseudotakahashii","PstHof2.4","B3","1","M","13",0.495550275,0.0701969625,0.1800490625,8.95288762017093,6.13333669976198,7.49224627733334,1,0.7611888585,9.5721106348543,0.088821352872,6.47283464059974,"HC",0.298029114134844,8.21930946263091
"1864","D_pseudotakahashii","PstHof2.4","B3","1","M","13",0.495550275,0.0701969625,0.1800490625,8.95288762017093,6.13333669976198,7.49224627733334,1,0.7600442136,9.56993953581267,0.088821352872,6.47283464059974,"HC",0.298029114134844,8.21930946263091
"1865","D_pseudotakahashii","PstHof2.4","B3","1","M","14",0.4792183375,0.0741363,0.1790837125,8.90453930431658,6.21210820970921,7.48449032126944,1,0.74917008705,9.54914948641099,0.0909029227635,6.50625477642026,"HC",0.301501115691966,8.23601953054117
"1866","D_pseudotakahashii","PstHof2.4","B3","1","M","14",0.4792183375,0.0741363,0.1790837125,8.90453930431658,6.21210820970921,7.48449032126944,1,0.7611888585,9.5721106348543,0.0909029227635,6.50625477642026,"HC",0.301501115691966,8.23601953054117
"1867","D_pseudotakahashii","PstHof2.4","B3","1","M","15",0.47891465,0.0779358875,0.1714888375,8.90362475806753,6.28421590065797,7.42197086175588,1,0.7382959605,9.52805545477636,0.0861478139718,6.42874228295619,"HC",0.293509478504187,8.19726328380914
"1868","D_pseudotakahashii","PstHof2.4","B3","1","M","15",0.47891465,0.0779358875,0.1714888375,8.90362475806753,6.28421590065797,7.42197086175588,1,0.76061653605,9.57102549374192,0.0861478139718,6.42874228295619,"HC",0.293509478504187,8.19726328380914
